Municipality,Population,Officer Count,Adj. Str,Pop/Officer,# Of Offences,Crime Rate,Case Load,Total Costs,Cost per capita,Population/Officer,Officer/10k Population,Spend/Offence,Spend/Crime Rate,,
Victoria,122157,257,257,475,10642,87,41," $77,147,339.00 ", $632.00 ,475.3190661,21.04," $7,249.33 ","$886,751.02 ",,
Prince Rupert,12925,36,36,359,1785,138,50," $7,884,514.00 ", $610.00 ,359.0277778,27.85," $4,417.09 ","$57,134.16 ",,
Vancouver,757849,1452,1452,522,45749,60,32," $459,626,680.00 ", $606.00 ,521.934573,19.16," $10,046.70 ","$7,660,444.67 ",,
WilliamsLake,11382,25,25,455,1949,171,78," $5,951,995.00 ", $523.00 ,455.28,21.96," $3,053.87 ","$34,806.99 ",,
Quesnel,10238,24,24,427,2776,271,116," $5,327,565.00 ", $520.00 ,426.5833333,23.44," $1,919.15 ","$19,658.91 ",,
PortAlberni,19685,34,34,579,3328,169,98," $10,205,584.00 ", $518.00 ,578.9705882,17.27," $3,066.58 ","$60,388.07 ",,
"LangleyCity10,13",35315,54,59,596,3652,103,62," $17,540,766.00 ", $497.00 ,598.559322,15.29," $4,803.06 ","$170,298.70 ",,
Terrace,13251,31,31,427,2196,166,71," $6,398,979.00 ", $483.00 ,427.4516129,23.39," $2,913.92 ","$38,548.07 ",,
DawsonCreek,12775,25,25,511,1770,139,71," $5,788,930.00 ", $453.00 ,511,19.57," $3,270.58 ","$41,646.98 ",,
NelsonCity,12343,23,23,537,1124,91,49," $5,569,187.00 ", $451.00 ,536.6521739,18.63," $4,954.79 ","$61,199.86 ",,
Merritt,7285,17,17,429,1643,226,97," $3,263,988.00 ", $448.00 ,428.5294118,23.34," $1,986.60 ","$14,442.42 ",,
FortSt.John,24286,38,38,639,2844,117,75," $10,750,824.00 ", $443.00 ,639.1052632,15.65," $3,780.18 ","$91,887.38 ",,
PrinceGeorge,84907,153,153,555,15276,180,100," $37,392,222.00 ", $440.00 ,554.9477124,18.02," $2,447.78 ","$207,734.57 ",,
"WestVancouver10,13",52280,79,82,639,2467,47,30," $22,980,516.00 ", $440.00 ,637.5609756,15.11," $9,315.17 ","$488,947.15 ",,
Kitimat,9169,20,20,458,735,80,37," $4,013,838.00 ", $438.00 ,458.45,21.81," $5,461.00 ","$50,172.98 ",,
Smithers,5653,11,11,514,1002,177,91," $2,456,196.00 ", $434.00 ,513.9090909,19.46," $2,451.29 ","$13,876.81 ",,
"Abbotsford10,13",175219,218,227,706,9662,55,43," $71,941,468.00 ", $411.00 ,771.8898678,12.44," $7,445.82 ","$1,308,026.69 ",,
Chilliwack,107769,152,165,652,12468,116,75," $43,865,748.00 ", $407.00 ,653.1454545,14.10," $3,518.27 ","$378,153.00 ",,
Saanich,125444,172,172,729,3727,30,22," $50,588,365.00 ", $403.00 ,729.3255814,13.71," $13,573.48 ","$1,686,278.83 ",,
"Delta10,13,20",127830,194,197,632,4336,34,22," $51,269,317.00 ", $401.00 ,648.8832487,15.18," $11,824.10 ","$1,507,921.09 ",,
Hope10,6832,14,15,442,1484,217,96," $2,731,088.00 ", $400.00 ,455.4666667,20.49," $1,840.36 ","$12,585.66 ",,
PortMoody10,38943,53,55,714,1139,29,21," $15,503,831.00 ", $398.00 ,708.0545455,13.61," $13,611.79 ","$534,614.86 ",,
