,2025 Police Budget,2026 Police Budget,Population (2021),Total Operating Budget 2025,Police Budget $ of Total,Police Budget Per Capita,Year-over-year Police Budget Increase
Victoria,"83,417,340","94,989,170","91,867","357,796,860",23.31%,$908.02,13.87%
Edmonton,"582,290,000","627,920,000","1,010,899","3,587,746,000",16.23%,$576.01,7.84%
Regina,"122,460,000","131,900,000","226,404","837,560,000",14.62%,$540.89,7.71%
Fredericton,"31,071,806","26,624,279","63,116","180,154,363",17.25%,$492.30,-14.31%
Toronto,"1,339,044,000","1,432,872,000","2,794,356","6,901,613,000",19.40%,$479.20,7.01%
Winnipeg,"338,871,387","356,228,206","749,607","1,204,228,094",28.14%,$452.07,5.12%
Ottawa,"442,456,000","478,709,000","1,017,449","4,979,959,000",8.88%,$434.87,8.19%
Charlottetown,"15,852,017","15,932,370","38,809","86,447,314",18.34%,$408.46,0.51%
Quebec,"174,600,000","186,700,000","549,459","2,015,400,000",8.66%,$317.77,6.93%
Halifax,"114,715,100","115,579,700","439,819","1,333,600,000",8.60%,$260.82,0.75%
